SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA19741,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240091/NA19741.final.cram,682296726,MXL,901f5447a225c21c6abead0ab8f93225
NA19922,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240095/NA19922.final.cram,779560484,ASW,655c827feeb24a6b37ee5a75ebcae0fa
NA18942,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239393/NA18942.final.cram,798265976,JPT,f99aa800d8284871a73335160c7a616e
NA18943,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239394/NA18943.final.cram,738930640,JPT,5acae281a17d1f3ae61d9b1a3eab92d1
NA18944,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239395/NA18944.final.cram,696627608,JPT,ddc70d54972cc612304aff36978d83d6
NA18971,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239413/NA18971.final.cram,758141808,JPT,9a37ae6c61f6ab194e1c7c48581e0408
NA19394,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239745/NA19394.final.cram,752460456,LWK,02d81462faaac823fd9ecda57703ab87
NA19401,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239749/NA19401.final.cram,737585046,LWK,4e1a48561897adfbd7acf4efd5e19064
NA21124,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240111/NA21124.final.cram,743048446,GIH,af412344645df38c44d6257c0067d2c4
HG00099,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240116/HG00099.final.cram,857630162,GBR,83eb1c632542d574535681978a7ff450
NA19449,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239767/NA19449.final.cram,747339584,LWK,ba8f39d444d4f005106ffcb1dec01131
NA19456,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239772/NA19456.final.cram,730586926,LWK,90628cde4db34105002c95a2d93b9a11
